_genre,type,release_year,total_media,imdb_vote
animation,SHOW,2003,3,9699
family,SHOW,2003,3,9699
fantasy,SHOW,2003,2,9686
drama,MOVIE,1981,3,9616
reality,SHOW,2010,1,9564
family,SHOW,2022,14,9530
western,SHOW,2017,3,9131
crime,MOVIE,1990,2,9102
animation,MOVIE,2004,4,8585
western,MOVIE,2020,2,8577
comedy,SHOW,2005,4,8489
family,MOVIE,1999,1,8454
romance,MOVIE,1981,1,8374
animation,MOVIE,2008,4,8123
sport,SHOW,2012,1,8052
animation,SHOW,2009,5,7937
documentation,MOVIE,2009,3,7761
horror,MOVIE,2008,1,7585
european,SHOW,2002,1,7539
animation,SHOW,2004,2,6820
european,SHOW,2004,2,6820
family,SHOW,2004,2,6820
sport,SHOW,2016,1,6789
action,SHOW,2004,1,6700
comedy,SHOW,2004,1,6700
fantasy,SHOW,2004,1,6700
thriller,MOVIE,1994,1,6465
music,SHOW,2021,7,6434
comedy,MOVIE,1985,2,6285
crime,MOVIE,1992,1,6199
fantasy,MOVIE,1992,1,6199
comedy,MOVIE,1992,2,6199
war,MOVIE,2007,2,6071
action,SHOW,2009,4,5651
reality,SHOW,2014,4,5573
Missing Genre,SHOW,2018,5,5434
reality,MOVIE,2018,2,5423
european,SHOW,2009,4,5407
romance,MOVIE,1990,1,5273
documentation,MOVIE,1979,2,5184
romance,SHOW,2003,2,5148
action,SHOW,1984,1,4948
animation,SHOW,1984,1,4948
comedy,SHOW,1984,1,4948
drama,SHOW,1984,1,4948
family,SHOW,1984,1,4948
fantasy,SHOW,1984,1,4948
music,SHOW,1984,1,4948
romance,SHOW,1998,1,4936
comedy,MOVIE,1995,2,4734
war,MOVIE,2005,3,4591
comedy,MOVIE,1958,1,4385
crime,MOVIE,1958,1,4385
drama,MOVIE,1958,1,4385
action,MOVIE,1999,1,4230
european,SHOW,1999,1,4185
family,SHOW,1999,1,4185
reality,SHOW,2012,3,4169
romance,MOVIE,1993,3,4061
romance,MOVIE,1997,2,4037
sport,SHOW,2022,4,3958
animation,SHOW,1993,1,3808
comedy,SHOW,1993,1,3808
western,SHOW,1993,1,3808
comedy,SHOW,1996,1,3713
drama,SHOW,1996,1,3713
family,SHOW,1996,1,3713
drama,MOVIE,1988,5,3568
animation,SHOW,1981,1,3514
comedy,SHOW,1981,1,3514
european,SHOW,1981,1,3514
family,SHOW,1981,1,3514
scifi,SHOW,1981,1,3514
reality,SHOW,1998,1,3274
documentation,MOVIE,1993,2,3251
drama,MOVIE,1979,3,3187
family,SHOW,1983,1,3126
romance,SHOW,1994,1,3106
sport,MOVIE,2007,2,3096
reality,SHOW,2005,1,3046
european,MOVIE,2021,2,2678
horror,SHOW,2003,1,2512
music,SHOW,2015,2,2497
action,MOVIE,1963,1,2470
drama,MOVIE,1963,1,2470
history,MOVIE,1963,1,2470
romance,MOVIE,1963,1,2470
war,MOVIE,1963,1,2470
documentation,MOVIE,1977,1,2416
european,MOVIE,1977,1,2416
history,MOVIE,1977,1,2416
documentation,SHOW,2009,2,2343
crime,SHOW,2000,1,2326
animation,MOVIE,2003,1,2206
comedy,SHOW,1972,1,2144
war,MOVIE,1988,2,2143
sport,SHOW,2015,1,2114
reality,SHOW,2009,1,1951
animation,SHOW,1987,1,1759
comedy,SHOW,1987,1,1759
crime,SHOW,1987,1,1759
european,SHOW,1987,1,1759
family,SHOW,1987,1,1759
european,SHOW,2019,1,1741
action,MOVIE,1988,2,1741
documentation,SHOW,2012,2,1726
western,SHOW,2015,1,1696
animation,MOVIE,1988,1,1649
scifi,MOVIE,1988,1,1649
music,MOVIE,1993,1,1564
family,SHOW,2008,2,1524
war,SHOW,2010,2,1519
romance,MOVIE,1982,1,1449
sport,SHOW,2013,2,1401
war,MOVIE,1982,2,1359
reality,SHOW,2013,2,1345
reality,MOVIE,2019,1,1268
action,MOVIE,1981,1,1242
animation,MOVIE,1981,1,1242
scifi,MOVIE,1981,1,1242
war,MOVIE,1981,1,1242
crime,MOVIE,1954,1,1219
drama,MOVIE,1954,1,1219
action,MOVIE,1982,1,1210
animation,MOVIE,1982,1,1210
scifi,MOVIE,1982,1,1210
documentation,MOVIE,2001,2,1137
music,SHOW,2013,1,1130
documentation,MOVIE,1968,1,1117
fantasy,MOVIE,1982,1,1113
reality,SHOW,2001,1,1104
european,MOVIE,2012,1,1003
documentation,MOVIE,2010,2,986
european,MOVIE,2022,1,938
music,SHOW,2006,1,912
documentation,MOVIE,2005,2,778
western,SHOW,2007,1,720
crime,MOVIE,1991,2,706
european,MOVIE,1993,1,678
history,SHOW,2009,1,603
war,SHOW,2009,2,603
action,MOVIE,1956,1,590
drama,MOVIE,1956,1,590
romance,MOVIE,1956,1,590
thriller,MOVIE,1956,1,590
documentation,MOVIE,1994,1,589
romance,MOVIE,1979,1,555
action,MOVIE,1984,2,538
crime,MOVIE,1988,2,472
thriller,MOVIE,1988,2,472
documentation,MOVIE,1991,2,467
comedy,MOVIE,1972,1,411
documentation,MOVIE,1972,1,411
music,MOVIE,1972,1,411
documentation,MOVIE,2004,1,373
war,MOVIE,1991,1,365
documentation,MOVIE,1990,1,353
drama,SHOW,2001,2,345
music,MOVIE,2007,1,344
thriller,MOVIE,1991,1,341
crime,SHOW,2009,1,302
sport,SHOW,2009,1,302
Missing Genre,SHOW,2011,1,300
music,SHOW,2014,1,300
romance,MOVIE,1984,1,297
comedy,MOVIE,1962,1,285
drama,MOVIE,1962,1,285
romance,MOVIE,1962,1,285
music,MOVIE,1991,1,272
sport,MOVIE,1991,1,248
music,SHOW,2017,4,242
comedy,MOVIE,1974,1,236
drama,MOVIE,1974,1,236
romance,MOVIE,1974,1,236
crime,MOVIE,1953,1,231
drama,MOVIE,1953,1,231
history,MOVIE,1953,1,231
thriller,MOVIE,1953,1,231
crime,SHOW,2010,1,228
fantasy,MOVIE,1966,1,225
drama,SHOW,2002,3,217
crime,MOVIE,1986,1,209
documentation,SHOW,2002,1,206
romance,SHOW,2002,1,190
action,MOVIE,1989,1,188
crime,MOVIE,1989,1,188
animation,SHOW,1997,1,172
comedy,SHOW,1997,1,172
family,SHOW,1997,1,172
fantasy,SHOW,1997,1,172
romance,MOVIE,1969,1,168
documentation,MOVIE,2000,1,161
european,SHOW,2005,2,153
european,MOVIE,1982,1,149
crime,MOVIE,1994,1,142
drama,MOVIE,1971,1,137
family,MOVIE,1998,1,129
music,MOVIE,1998,1,129
war,MOVIE,2011,1,129
thriller,MOVIE,1986,1,122
documentation,MOVIE,1996,1,115
drama,MOVIE,1975,1,106
music,SHOW,2011,1,94
crime,MOVIE,1960,1,82
drama,MOVIE,1960,1,82
thriller,MOVIE,1960,1,82
crime,MOVIE,1959,1,78
drama,MOVIE,1959,1,78
romance,MOVIE,1959,1,78
documentation,MOVIE,1980,1,75
documentation,MOVIE,1999,1,74
history,MOVIE,1999,1,74
family,MOVIE,1983,1,70
romance,MOVIE,1983,1,70
reality,SHOW,2011,2,70
action,MOVIE,1987,1,68
family,MOVIE,1987,1,68
scifi,MOVIE,2006,1,61
documentation,SHOW,2005,1,60
history,MOVIE,2001,1,54
reality,MOVIE,2015,1,48
crime,MOVIE,1973,1,41
drama,MOVIE,1973,1,41
thriller,MOVIE,1973,1,41
Missing Genre,SHOW,1993,1,39
action,MOVIE,1978,1,35
drama,MOVIE,1978,1,35
romance,MOVIE,1978,1,35
action,MOVIE,1980,1,25
european,SHOW,2007,1,25
comedy,MOVIE,1980,2,25
reality,MOVIE,2013,1,21
romance,MOVIE,1976,1,14
comedy,SHOW,1988,1,6
Missing Genre,MOVIE,1998,1,
Missing Genre,MOVIE,2003,1,
Missing Genre,MOVIE,2004,1,
Missing Genre,MOVIE,2006,1,
Missing Genre,MOVIE,2011,1,
Missing Genre,MOVIE,2015,1,
Missing Genre,MOVIE,2016,1,
Missing Genre,MOVIE,2022,1,
Missing Genre,SHOW,2004,1,
Missing Genre,SHOW,2014,1,
comedy,MOVIE,1973,1,
comedy,MOVIE,1976,1,
documentation,SHOW,1945,1,
documentation,SHOW,2006,1,
drama,SHOW,1991,1,
music,MOVIE,2005,1,
music,MOVIE,2011,1,
reality,SHOW,1991,1,
war,MOVIE,2001,1,
western,MOVIE,2022,1,
western,SHOW,2004,1,
western,SHOW,2019,1,
Missing Genre,MOVIE,2021,11,
Missing Genre,MOVIE,2014,2,
Missing Genre,MOVIE,2017,2,
Missing Genre,SHOW,2017,2,
Missing Genre,SHOW,2022,2,
Missing Genre,MOVIE,2020,3,
Missing Genre,MOVIE,2018,4,
Missing Genre,SHOW,2019,4,
Missing Genre,MOVIE,2019,6,
Missing Genre,SHOW,2021,6,
Missing Genre,SHOW,2020,9,
