_genre,type,release_year,age_certification,total_media,imdb_vote
comedy,MOVIE,2012,G,7,149352
action,MOVIE,1993,PG-13,1,149290
fantasy,MOVIE,1993,PG-13,1,149290
romance,MOVIE,2014,PG,6,149289
drama,MOVIE,2001,PG-13,1,149082
comedy,SHOW,2014,TV-14,9,148920
action,SHOW,2015,TV-PG,1,148386
animation,SHOW,2015,TV-PG,1,148386
fantasy,SHOW,2015,TV-PG,1,148386
scifi,SHOW,2015,TV-PG,1,148386
documentation,MOVIE,2006,PG,1,148043
history,MOVIE,2019,PG-13,3,147669
crime,MOVIE,2019,PG-13,2,147662
european,SHOW,2006,TV-14,1,147409
european,MOVIE,2019,PG,3,146937
crime,MOVIE,2004,PG-13,1,145981
comedy,MOVIE,2009,R,4,145284
horror,MOVIE,2007,R,2,144850
romance,MOVIE,2004,PG,3,144844
drama,MOVIE,2012,G,5,144217
war,SHOW,2018,TV-MA,5,144091
crime,MOVIE,2005,PG-13,1,143998
sport,MOVIE,2005,PG-13,1,143670
animation,SHOW,2014,TV-MA,1,143584
thriller,SHOW,2003,TV-14,2,143561
fantasy,MOVIE,2018,PG-13,5,142856
history,SHOW,2015,TV-MA,2,142746
horror,MOVIE,1997,R,1,142696
fantasy,MOVIE,2013,PG,2,142208
comedy,MOVIE,2015,PG,6,141740
western,MOVIE,2018,R,1,141528
history,MOVIE,1997,PG-13,1,141308
war,MOVIE,1997,PG-13,1,141308
drama,SHOW,2003,TV-14,2,141088
action,SHOW,2003,TV-14,1,141049
crime,SHOW,2003,TV-14,1,141049
animation,SHOW,2017,TV-MA,4,140264
crime,MOVIE,1998,R,2,140193
european,MOVIE,1998,R,2,140193
european,MOVIE,2006,R,1,139797
fantasy,MOVIE,2006,R,1,139797
history,MOVIE,2018,R,5,139751
thriller,MOVIE,2016,,24,139045
fantasy,MOVIE,2020,PG-13,4,137812
horror,MOVIE,2014,PG-13,3,137793
comedy,MOVIE,2018,PG,14,137586
drama,MOVIE,1990,PG-13,1,137549
european,MOVIE,1990,PG-13,1,137549
war,MOVIE,2017,R,5,137122
music,MOVIE,2020,PG-13,4,136387
documentation,MOVIE,2016,,27,135824
comedy,MOVIE,2003,PG-13,2,135779
comedy,MOVIE,1991,PG,3,135494
romance,MOVIE,2020,PG-13,7,135353
family,MOVIE,1991,PG,2,135299
comedy,SHOW,2000,TV-14,2,134877
drama,SHOW,2000,TV-14,2,134877
documentation,SHOW,2018,TV-MA,29,133657
music,MOVIE,2016,PG-13,1,132821
scifi,SHOW,2013,TV-14,2,132726
comedy,MOVIE,2007,,6,132526
crime,MOVIE,2002,PG-13,1,131999
drama,MOVIE,2002,PG-13,1,131999
thriller,MOVIE,2002,PG-13,1,131999
comedy,SHOW,2021,TV-14,18,131638
horror,SHOW,2013,TV-14,1,131574
war,MOVIE,2009,R,1,131564
horror,MOVIE,2000,R,1,130099
scifi,MOVIE,2000,R,1,130099
romance,MOVIE,2007,,6,129193
crime,MOVIE,2014,PG-13,5,128447
animation,MOVIE,1993,R,1,128179
crime,MOVIE,2016,,14,126470
comedy,SHOW,2017,TV-14,13,126201
horror,MOVIE,2016,PG-13,6,124728
scifi,MOVIE,2013,PG,2,124554
action,MOVIE,2011,,5,124273
fantasy,MOVIE,2005,PG-13,3,124258
action,SHOW,2012,TV-Y7,4,123286
animation,SHOW,2012,TV-Y7,4,123286
comedy,SHOW,2012,TV-Y7,4,123286
family,SHOW,2012,TV-Y7,4,123286
scifi,SHOW,2012,TV-Y7,4,123286
thriller,MOVIE,2001,R,2,122853
fantasy,SHOW,2012,TV-Y7,3,122371
fantasy,MOVIE,2015,PG-13,2,122364
scifi,MOVIE,2019,R,4,121822
fantasy,MOVIE,2010,R,1,120208
horror,MOVIE,2006,PG-13,1,120188
thriller,MOVIE,2006,PG-13,3,120026
drama,MOVIE,2001,G,2,119985
romance,MOVIE,2001,G,2,119985
comedy,MOVIE,2017,PG-13,15,119541
horror,SHOW,2018,TV-14,2,119204
family,MOVIE,2020,PG,13,118994
fantasy,MOVIE,2020,PG,10,118504
sport,MOVIE,1999,R,1,118479
scifi,MOVIE,2021,,11,117927
drama,SHOW,2012,TV-Y7,1,117464
documentation,MOVIE,2018,,53,117271
comedy,SHOW,1998,TV-14,2,116161
drama,SHOW,1998,TV-14,2,116161
scifi,SHOW,1998,TV-14,2,116161
european,MOVIE,2013,PG-13,2,115836
documentation,SHOW,2021,TV-MA,32,115820
drama,MOVIE,2013,PG,3,115299
fantasy,SHOW,2016,TV-MA,4,115139
fantasy,MOVIE,2016,R,2,114608
scifi,MOVIE,2020,R,4,114568
action,MOVIE,2011,R,1,114505
documentation,MOVIE,2011,R,1,114505
european,MOVIE,2011,R,1,114505
horror,MOVIE,2011,R,1,114505
fantasy,SHOW,2017,TV-MA,8,113422
scifi,SHOW,2020,TV-14,14,113095
action,SHOW,1998,TV-14,1,112887
animation,SHOW,1998,TV-14,1,112887
thriller,SHOW,1998,TV-14,1,112887
western,SHOW,1998,TV-14,1,112887
action,SHOW,1999,TV-14,1,112586
animation,SHOW,1999,TV-14,1,112586
comedy,SHOW,1999,TV-14,1,112586
drama,SHOW,1999,TV-14,1,112586
fantasy,SHOW,1999,TV-14,1,112586
drama,SHOW,2018,TV-PG,7,112514
drama,MOVIE,2004,G,2,112161
thriller,MOVIE,2010,PG,3,112122
animation,SHOW,2011,TV-14,5,112109
action,MOVIE,1967,R,1,111189
crime,MOVIE,1967,R,1,111189
drama,MOVIE,1967,R,1,111189
european,MOVIE,2014,PG,1,111092
drama,MOVIE,2001,PG,1,111053
romance,MOVIE,2001,PG,1,111053
sport,MOVIE,2001,PG,1,111053
comedy,MOVIE,2006,R,3,110765
comedy,SHOW,2020,TV-14,13,110514
fantasy,MOVIE,2015,PG,3,110419
drama,SHOW,2011,TV-14,7,110024
documentation,MOVIE,2021,,34,109801
fantasy,SHOW,2011,TV-14,3,109653
action,SHOW,2018,TV-PG,5,109468
family,MOVIE,2015,PG,2,108509
scifi,MOVIE,2015,PG,2,108509
thriller,MOVIE,2022,,12,107987
action,MOVIE,2007,PG,2,106659
fantasy,MOVIE,2007,PG,2,106659
horror,SHOW,2015,TV-14,2,106570
drama,MOVIE,2014,,24,106466
romance,MOVIE,2009,PG-13,4,106233
european,MOVIE,2018,PG-13,4,105515
documentation,MOVIE,2020,PG-13,6,105028
comedy,MOVIE,2001,R,1,104604
scifi,MOVIE,2021,PG,2,104255
fantasy,MOVIE,2009,R,1,104166
scifi,MOVIE,2009,R,1,104166
history,MOVIE,2010,R,1,103673
sport,MOVIE,2010,R,1,103673
crime,MOVIE,1998,PG-13,1,103263
family,SHOW,2018,TV-PG,3,103208
western,MOVIE,2019,R,2,103091
action,SHOW,2011,TV-14,4,103054
documentation,MOVIE,2011,PG-13,3,102975
horror,MOVIE,2018,PG-13,1,102759
fantasy,MOVIE,1989,R,1,102212
horror,MOVIE,1989,R,1,102212
thriller,MOVIE,1989,R,1,102212
crime,MOVIE,2013,,9,102003
war,MOVIE,2015,R,4,101846
thriller,MOVIE,2013,,8,101800
action,MOVIE,2016,,12,101425
animation,SHOW,2018,TV-14,11,101225
comedy,MOVIE,2014,R,7,101204
scifi,SHOW,2018,TV-PG,2,101176
fantasy,SHOW,2018,TV-MA,14,101004
animation,MOVIE,2015,PG,1,100705
drama,MOVIE,2018,PG,12,100614
family,SHOW,2011,TV-14,2,100598
scifi,SHOW,2022,TV-MA,9,100156
action,SHOW,2016,TV-MA,13,99942
european,MOVIE,2016,R,4,99749
thriller,SHOW,2018,TV-PG,2,99655
thriller,MOVIE,2015,PG-13,3,98864
fantasy,MOVIE,2021,R,5,98561
crime,MOVIE,2011,,3,98389
drama,MOVIE,2008,PG,3,98255
scifi,MOVIE,2018,,9,98147
scifi,MOVIE,2015,PG-13,1,98127
documentation,SHOW,2015,TV-14,5,97767
action,MOVIE,2017,NC-17,2,97703
crime,MOVIE,2017,NC-17,2,97703
drama,MOVIE,2017,NC-17,2,97703
thriller,MOVIE,2017,NC-17,2,97703
drama,SHOW,2016,TV-PG,7,97668
comedy,MOVIE,2020,PG,11,97637
romance,MOVIE,1995,R,2,97145
family,MOVIE,1994,PG,3,96967
european,MOVIE,2016,PG-13,4,96360
romance,SHOW,2020,TV-14,12,96221
history,MOVIE,2016,,7,96067
european,MOVIE,2019,R,2,95934
history,MOVIE,2015,PG-13,2,95657
fantasy,MOVIE,2019,,18,95617
action,MOVIE,2008,PG,1,94628
family,MOVIE,2008,PG,1,94628
fantasy,MOVIE,2008,PG,1,94628
thriller,MOVIE,2008,PG,1,94628
action,MOVIE,2001,PG-13,2,94154
drama,MOVIE,1964,G,1,94121
family,MOVIE,1964,G,1,94121
music,MOVIE,1964,G,1,94121
romance,MOVIE,1964,G,1,94121
action,SHOW,2002,TV-PG,1,93980
animation,SHOW,2002,TV-PG,1,93980
comedy,SHOW,2002,TV-PG,1,93980
fantasy,SHOW,2002,TV-PG,1,93980
scifi,SHOW,2002,TV-PG,1,93980
thriller,SHOW,2002,TV-PG,1,93980
comedy,MOVIE,1993,PG,2,93907
sport,MOVIE,2013,PG-13,1,93314
war,MOVIE,2020,R,5,93055
romance,MOVIE,2016,,21,92865
crime,SHOW,2022,TV-MA,17,92757
action,MOVIE,1990,PG,1,92647
comedy,MOVIE,1990,PG,1,92647
family,MOVIE,1990,PG,1,92647
scifi,MOVIE,1990,PG,1,92647
romance,MOVIE,2020,R,4,92437
scifi,MOVIE,2001,PG-13,1,91584
thriller,MOVIE,2001,PG-13,1,91584
fantasy,MOVIE,2018,PG,5,91462
scifi,MOVIE,2020,PG-13,3,91371
action,SHOW,1997,TV-PG,1,90196
drama,SHOW,1997,TV-PG,1,90196
scifi,SHOW,1997,TV-PG,1,90196
war,MOVIE,2018,R,3,89573
scifi,MOVIE,2016,R,3,89255
drama,MOVIE,2011,,17,89181
european,MOVIE,2004,G,1,89085
crime,SHOW,2011,TV-14,2,88855
action,MOVIE,2013,PG-13,3,88671
comedy,MOVIE,2022,,29,88618
thriller,MOVIE,2011,,5,88436
action,SHOW,2016,TV-PG,2,88331
thriller,SHOW,2016,TV-PG,2,88090
romance,SHOW,2019,TV-MA,15,88037
war,SHOW,2016,TV-PG,1,88019
history,MOVIE,2021,PG-13,5,87909
documentation,SHOW,2011,TV-14,2,87885
drama,MOVIE,1994,PG,2,87759
romance,MOVIE,1994,PG,2,87759
horror,SHOW,2022,TV-MA,4,87485
horror,SHOW,2015,TV-MA,2,87327
romance,MOVIE,2013,PG-13,3,86831
fantasy,MOVIE,2001,R,1,86492
horror,MOVIE,2001,R,1,86492
drama,MOVIE,2015,PG,7,86313
action,SHOW,2022,TV-MA,7,86262
scifi,MOVIE,2021,PG-13,3,86173
comedy,SHOW,2017,TV-PG,4,85774
history,MOVIE,2018,,7,85180
drama,SHOW,2012,TV-MA,5,85119
fantasy,MOVIE,2018,,14,85103
drama,SHOW,2017,TV-PG,7,84600
comedy,SHOW,2012,TV-MA,4,84364
comedy,MOVIE,2017,PG,13,84310
horror,MOVIE,2011,PG,1,83727
fantasy,SHOW,2020,TV-14,8,83631
fantasy,MOVIE,2017,NC-17,1,83519
horror,MOVIE,2017,NC-17,1,83519
romance,SHOW,2021,TV-MA,17,83376
music,MOVIE,2019,,22,82630
war,MOVIE,2010,PG,1,82623
romance,MOVIE,2012,G,2,82514
comedy,MOVIE,2022,R,12,82475
documentation,SHOW,2017,TV-14,10,82413
family,MOVIE,2003,PG,1,81971
fantasy,MOVIE,2003,PG,1,81971
drama,MOVIE,2008,,10,81266
european,MOVIE,1983,R,1,80945
horror,MOVIE,1983,R,1,80945
thriller,MOVIE,1983,R,1,80945
crime,MOVIE,2008,R,2,80901
action,SHOW,2008,TV-PG,1,80138
drama,SHOW,2008,TV-PG,1,80138
european,SHOW,2008,TV-PG,1,80138
fantasy,SHOW,2008,TV-PG,1,80138
scifi,SHOW,2008,TV-PG,1,80138
crime,MOVIE,2017,PG-13,5,79883
drama,MOVIE,1991,PG,1,79800
european,MOVIE,1991,PG,1,79800
romance,MOVIE,1991,PG,1,79800
fantasy,SHOW,2015,TV-MA,2,79738
music,MOVIE,2020,R,3,79482
comedy,MOVIE,2011,,9,79151
thriller,MOVIE,2022,R,4,79002
romance,MOVIE,2022,,19,78584
documentation,MOVIE,2015,,14,78371
romance,MOVIE,2009,R,2,78037
action,SHOW,2014,TV-MA,3,77864
sport,MOVIE,2021,,9,77801
fantasy,MOVIE,2020,,22,77732
horror,SHOW,2020,TV-14,2,77583
horror,MOVIE,2014,R,3,77455
thriller,SHOW,2020,TV-14,5,77263
documentation,MOVIE,2013,PG-13,2,76962
crime,MOVIE,2022,R,6,76711
documentation,MOVIE,2014,,18,76365
drama,MOVIE,1995,R,2,75983
crime,SHOW,2011,TV-MA,3,75421
drama,MOVIE,1993,PG,1,75244
romance,SHOW,2014,TV-14,7,75178
scifi,MOVIE,2013,PG-13,1,75139
romance,SHOW,2019,TV-14,13,74696
thriller,MOVIE,2015,,10,74262
drama,MOVIE,2014,PG,4,73765
crime,MOVIE,2018,,28,73494
sport,MOVIE,2017,,6,73459
european,MOVIE,2015,,8,73268
comedy,SHOW,1969,TV-14,1,72895
european,SHOW,1969,TV-14,1,72895
romance,MOVIE,2010,PG-13,3,72738
documentation,MOVIE,2006,R,1,72366
animation,SHOW,2021,TV-MA,13,72021
comedy,MOVIE,2000,PG-13,2,71643
documentation,SHOW,2014,TV-MA,1,71229
history,SHOW,2014,TV-MA,1,71229
comedy,MOVIE,2001,G,1,71167
scifi,MOVIE,1995,R,1,71062
war,SHOW,2016,TV-14,5,70934
action,MOVIE,2019,PG,6,70331
comedy,SHOW,2022,TV-MA,16,70274
music,MOVIE,2018,,20,69562
drama,MOVIE,1980,R,1,69053
romance,MOVIE,1980,R,1,69053
history,MOVIE,2014,PG,1,68790
horror,SHOW,2014,TV-14,3,68260
drama,MOVIE,2021,PG,8,68071
drama,MOVIE,2003,PG,1,68028
romance,MOVIE,2003,PG,1,68028
fantasy,SHOW,2014,TV-14,5,67930
fantasy,MOVIE,1997,PG-13,1,67761
drama,MOVIE,2019,PG,9,67705
history,MOVIE,2020,,11,67505
fantasy,MOVIE,2019,PG-13,5,67314
drama,MOVIE,2022,R,6,66511
thriller,MOVIE,2014,,10,66460
scifi,MOVIE,2020,,10,66387
action,MOVIE,1995,PG-13,1,66127
crime,MOVIE,1995,PG-13,1,66127
drama,MOVIE,1995,PG-13,1,66127
thriller,MOVIE,1995,PG-13,1,66127
animation,MOVIE,2021,,17,65771
documentation,MOVIE,2022,,9,65272
action,SHOW,1995,TV-14,1,64727
animation,SHOW,1995,TV-14,1,64727
drama,SHOW,1995,TV-14,1,64727
fantasy,SHOW,1995,TV-14,1,64727
scifi,SHOW,1995,TV-14,1,64727
thriller,SHOW,1995,TV-14,1,64727
crime,MOVIE,1999,R,2,64669
european,MOVIE,1997,R,1,64625
family,MOVIE,2020,,33,64479
sport,MOVIE,2000,PG-13,1,64087
animation,MOVIE,2007,PG,1,64062
scifi,MOVIE,2007,PG,1,64062
romance,MOVIE,2017,PG,8,63895
documentation,MOVIE,2020,R,5,63318
horror,MOVIE,2015,,5,63229
western,MOVIE,2014,R,1,63007
action,SHOW,2017,TV-PG,3,62799
crime,MOVIE,2014,,5,62538
animation,SHOW,2018,TV-MA,11,62533
drama,MOVIE,2020,PG,11,62507
action,SHOW,2006,TV-14,1,62367
war,SHOW,2006,TV-14,1,62367
music,SHOW,2003,TV-14,1,62140
scifi,MOVIE,2004,PG-13,1,61797
crime,SHOW,2018,TV-14,5,61546
romance,SHOW,2016,TV-MA,5,61402
thriller,SHOW,2013,TV-MA,2,61337
action,SHOW,1993,TV-PG,1,61145
drama,SHOW,1993,TV-PG,1,61145
scifi,SHOW,1993,TV-PG,1,61145
family,SHOW,2017,TV-PG,2,61065
war,MOVIE,2020,,3,60993
comedy,MOVIE,2008,,11,60653
drama,MOVIE,2009,,9,60548
animation,SHOW,2018,TV-Y7,16,60498
comedy,MOVIE,2015,,32,60433
family,SHOW,2018,TV-Y7,13,60409
scifi,MOVIE,2015,,4,60239
fantasy,MOVIE,2021,PG,4,59732
drama,MOVIE,1992,PG,1,59086
romance,SHOW,2018,TV-14,13,58907
thriller,MOVIE,1999,R,1,58726
european,MOVIE,2014,,7,58643
romance,MOVIE,2002,R,1,58516
scifi,MOVIE,2016,PG-13,1,58407
scifi,MOVIE,2014,,4,58310
fantasy,MOVIE,2017,PG-13,4,58195
war,SHOW,2014,TV-14,2,58078
action,MOVIE,2022,,8,58028
scifi,SHOW,2018,TV-Y7,9,57824
comedy,MOVIE,1998,G,2,57474
fantasy,MOVIE,2012,G,1,57449
horror,MOVIE,2020,PG-13,2,57215
family,MOVIE,2021,,23,56385
drama,SHOW,2018,TV-Y7,6,55989
romance,MOVIE,2015,PG-13,6,55854
animation,MOVIE,2016,R,1,55806
animation,MOVIE,2019,,16,55717
drama,MOVIE,2012,,11,55552
action,MOVIE,1991,PG,1,55499
scifi,MOVIE,1991,PG,1,55499
fantasy,MOVIE,2021,PG-13,5,55469
comedy,SHOW,2016,TV-Y7,9,55362
family,SHOW,2016,TV-Y7,9,55362
family,MOVIE,2019,,25,55271
romance,MOVIE,2016,R,1,55118
music,MOVIE,2021,R,5,54910
music,MOVIE,2017,,7,54772
european,MOVIE,2005,R,1,54633
family,MOVIE,2017,PG,10,54498
thriller,MOVIE,2012,,7,54399
animation,MOVIE,2002,G,1,53746
comedy,MOVIE,2002,G,1,53746
family,MOVIE,2002,G,1,53746
fantasy,MOVIE,2002,G,1,53746
action,MOVIE,2015,,10,53694
romance,MOVIE,2015,,17,53659
drama,SHOW,2017,TV-G,2,53063
family,SHOW,2017,TV-G,2,53063
fantasy,SHOW,2018,TV-Y7,6,52970
documentation,MOVIE,2018,R,2,52913
history,SHOW,2021,TV-MA,13,52530
european,MOVIE,2011,,2,52467
action,MOVIE,1997,,1,51938
animation,MOVIE,1997,,1,51938
fantasy,MOVIE,1997,,1,51938
scifi,MOVIE,1997,,1,51938
reality,SHOW,2017,TV-MA,3,51909
drama,MOVIE,1998,G,1,51640
romance,MOVIE,1998,G,1,51640
comedy,MOVIE,2013,,25,50754
animation,MOVIE,2020,PG,6,50720
animation,SHOW,2016,TV-14,3,50613
reality,SHOW,2020,TV-MA,13,50603
history,SHOW,2011,TV-MA,1,50556
romance,SHOW,2011,TV-MA,1,50556
action,MOVIE,1961,,1,50150
drama,MOVIE,1961,,1,50150
war,MOVIE,1961,,1,50150
romance,MOVIE,2017,PG-13,5,50049
fantasy,SHOW,2015,TV-14,2,49876
music,MOVIE,2016,,8,49736
sport,MOVIE,2011,PG,1,49101
animation,MOVIE,2018,PG,8,48722
drama,MOVIE,2012,PG,4,48534
western,MOVIE,2015,PG-13,2,47973
animation,SHOW,2014,TV-14,4,47798
sport,SHOW,2019,TV-MA,8,47667
comedy,MOVIE,2014,,23,47656
music,MOVIE,2019,R,1,47603
crime,MOVIE,2012,,4,47565
animation,SHOW,2015,TV-MA,3,47324
thriller,MOVIE,2004,PG-13,1,47049
action,MOVIE,2013,,9,46931
war,MOVIE,2016,,3,46534
fantasy,SHOW,2022,TV-MA,5,46050
horror,MOVIE,2022,R,1,45810
war,MOVIE,2018,,2,45716
drama,SHOW,2022,TV-14,12,45669
action,SHOW,2018,TV-Y7,12,45629
thriller,MOVIE,2007,PG,2,45200
european,MOVIE,2019,PG-13,2,44977
drama,SHOW,2004,TV-14,1,44971
scifi,SHOW,2004,TV-14,1,44971
thriller,SHOW,2004,TV-14,1,44971
comedy,MOVIE,1982,PG,1,44866
drama,MOVIE,1982,PG,1,44866
family,MOVIE,1982,PG,1,44866
drama,SHOW,2020,,11,44805
documentation,SHOW,2019,TV-14,7,44756
sport,SHOW,2017,TV-MA,1,44751
documentation,SHOW,2019,TV-G,2,44098
reality,MOVIE,2021,R,1,44074
action,MOVIE,2004,PG,2,44020
drama,MOVIE,2004,PG,2,44020
thriller,MOVIE,2004,PG,2,44020
action,SHOW,2012,TV-MA,1,43727
animation,SHOW,2012,TV-MA,1,43727
fantasy,SHOW,2012,TV-MA,1,43727
romance,SHOW,2012,TV-MA,1,43727
scifi,SHOW,2012,TV-MA,1,43727
thriller,SHOW,2012,TV-MA,1,43727
western,SHOW,2012,TV-MA,1,43727
romance,MOVIE,1954,,2,43592
drama,MOVIE,2003,,6,43558
comedy,SHOW,2018,TV-Y7,14,43487
romance,MOVIE,2021,PG-13,4,43330
comedy,MOVIE,2012,PG,5,43282
comedy,MOVIE,1954,,1,42373
music,MOVIE,1954,,1,42373
documentation,MOVIE,2021,R,15,42255
comedy,MOVIE,2006,,8,42176
family,SHOW,2019,TV-PG,10,42111
romance,SHOW,2022,TV-MA,8,41896
crime,MOVIE,2016,PG-13,3,41844
comedy,SHOW,2001,TV-MA,1,41791
crime,SHOW,2001,TV-MA,1,41791
comedy,MOVIE,2009,,4,41757
fantasy,MOVIE,2012,,1,41752
romance,MOVIE,2009,,3,41732
documentation,MOVIE,2020,PG,5,41374
romance,MOVIE,2018,PG,5,41332
crime,SHOW,2019,TV-14,10,41244
action,MOVIE,2006,PG-13,3,40872
romance,MOVIE,2015,PG,3,40316
war,MOVIE,2013,R,1,39743
comedy,MOVIE,2001,,4,39643
history,MOVIE,2017,R,2,39503
action,MOVIE,1994,PG,2,39346
sport,MOVIE,1994,PG,2,39346
drama,MOVIE,2001,,3,38560
history,MOVIE,2021,,8,38552
horror,MOVIE,2005,PG-13,1,38445
comedy,SHOW,2007,TV-G,2,38306
family,SHOW,2007,TV-G,2,38306
romance,SHOW,2007,TV-G,1,38281
sport,MOVIE,2009,R,2,38172
animation,SHOW,2001,TV-Y7,1,38046
comedy,SHOW,2001,TV-Y7,1,38046
family,SHOW,2001,TV-Y7,1,38046
fantasy,SHOW,2001,TV-Y7,1,38046
scifi,SHOW,2001,TV-Y7,1,38046
western,SHOW,2016,TV-MA,1,37890
action,MOVIE,2012,PG,3,37637
crime,MOVIE,2012,PG,2,37421
thriller,MOVIE,2012,PG,2,37421
european,MOVIE,2006,PG-13,1,36836
drama,MOVIE,1998,PG-13,3,36831
sport,MOVIE,2013,,1,36512
drama,SHOW,2019,TV-PG,10,36509
drama,MOVIE,2002,,4,36508
action,MOVIE,2001,R,1,36361
european,MOVIE,2001,R,1,36361
history,SHOW,2016,TV-14,5,36300
sport,SHOW,2021,TV-14,5,36266
documentation,SHOW,2015,TV-MA,4,36083
documentation,SHOW,2021,TV-14,14,36074
romance,MOVIE,2021,PG,3,35916
sport,MOVIE,2012,PG,1,35888
drama,MOVIE,2020,NC-17,2,35839
documentation,SHOW,2020,TV-14,11,35838
war,SHOW,2020,TV-MA,4,35722
action,MOVIE,2001,PG,1,35711
animation,MOVIE,2001,PG,1,35711
comedy,MOVIE,2001,PG,1,35711
crime,MOVIE,2001,PG,1,35711
family,MOVIE,2001,PG,1,35711
fantasy,MOVIE,2001,PG,1,35711
scifi,MOVIE,2001,PG,1,35711
history,SHOW,2014,TV-14,1,35515
reality,SHOW,2019,TV-MA,8,35488
horror,SHOW,2019,TV-14,5,35477
drama,SHOW,2019,,26,34950
comedy,SHOW,1989,TV-G,1,34854
family,SHOW,1989,TV-G,1,34854
romance,SHOW,1989,TV-G,1,34854
crime,MOVIE,2015,PG,1,34659
thriller,MOVIE,2015,PG,1,34659
romance,MOVIE,2020,PG,4,34636
romance,MOVIE,2013,,13,34489
romance,SHOW,2022,TV-14,5,34416
drama,SHOW,2021,,13,34414
western,SHOW,2012,TV-14,1,34362
comedy,MOVIE,1997,R,1,34127
war,MOVIE,2016,PG-13,3,34026
romance,MOVIE,2008,,3,33786
action,SHOW,1982,TV-PG,1,33760
crime,SHOW,1982,TV-PG,1,33760
drama,SHOW,1982,TV-PG,1,33760
scifi,SHOW,1982,TV-PG,1,33760
family,SHOW,2021,TV-14,3,33412
action,MOVIE,1993,PG,1,33128
fantasy,MOVIE,1993,PG,1,33128
scifi,MOVIE,1993,PG,1,33128
action,SHOW,2017,TV-14,6,33101
action,MOVIE,2002,,3,32910
war,MOVIE,2019,,6,32844
romance,MOVIE,2011,,7,32735
history,SHOW,2022,TV-MA,3,32646
crime,MOVIE,2014,PG,2,32575
action,SHOW,2021,TV-PG,5,32333
drama,MOVIE,2021,G,2,32332
war,MOVIE,2008,PG-13,1,32188
drama,SHOW,2021,TV-PG,5,31761
crime,MOVIE,2007,,5,31570
fantasy,MOVIE,2017,PG,8,31564
family,SHOW,2021,TV-PG,5,31445
war,SHOW,2022,TV-MA,1,31330
comedy,SHOW,2021,TV-PG,4,31222
comedy,SHOW,2012,TV-14,6,31192
documentation,MOVIE,2017,R,6,31091
history,MOVIE,2019,PG,2,31069
drama,MOVIE,2017,PG,6,31063
animation,SHOW,2019,TV-PG,7,30373
action,MOVIE,1979,PG,1,30277
animation,MOVIE,1979,PG,1,30277
comedy,MOVIE,1979,PG,1,30277
family,MOVIE,1979,PG,1,30277
fantasy,MOVIE,1979,PG,1,30277
war,MOVIE,2017,,4,30265
romance,MOVIE,2006,R,1,30186
comedy,MOVIE,2008,PG-13,5,30058
european,MOVIE,2020,NC-17,1,30030
history,SHOW,2017,TV-MA,4,29865
music,MOVIE,2015,,4,29833
documentation,MOVIE,2013,,9,29716
crime,MOVIE,2007,PG-13,2,29695
documentation,SHOW,2022,TV-MA,13,29678
history,MOVIE,2017,,11,29656
family,MOVIE,2015,,6,29349
crime,SHOW,2012,TV-MA,1,29196
documentation,SHOW,2017,TV-MA,14,29095
animation,SHOW,2021,TV-PG,4,29032
fantasy,SHOW,2021,TV-PG,4,29032
thriller,MOVIE,2022,PG-13,2,28903
scifi,SHOW,2021,TV-PG,3,28718
crime,SHOW,2021,TV-14,7,28662
sport,MOVIE,2020,,7,28643
drama,MOVIE,1994,,4,28591
action,SHOW,2019,TV-PG,4,28591
documentation,MOVIE,2021,PG-13,11,28408
animation,SHOW,2016,TV-Y7,9,28384
family,MOVIE,2012,PG,2,28264
drama,MOVIE,2007,,9,28222
fantasy,SHOW,2019,TV-PG,4,28172
music,SHOW,2016,TV-MA,2,28076
european,SHOW,2016,TV-14,3,27701
scifi,SHOW,2019,TV-PG,4,27608
drama,MOVIE,2010,,10,27486
romance,MOVIE,1994,,2,27451
fantasy,SHOW,2016,TV-Y7,6,27433
romance,MOVIE,2019,PG,2,27369
sport,MOVIE,2019,,10,27208
animation,SHOW,2010,TV-Y7,2,27208
comedy,SHOW,2010,TV-Y7,2,27208
drama,SHOW,2010,TV-Y7,2,27208
family,SHOW,2010,TV-Y7,2,27208
scifi,SHOW,2010,TV-Y7,2,27208
romance,SHOW,2021,TV-14,10,27204
action,SHOW,2016,TV-Y7,7,27202
drama,MOVIE,2006,,9,27186
drama,MOVIE,2018,G,7,27051
history,SHOW,2017,TV-14,3,26895
scifi,MOVIE,2020,PG,3,26862
history,MOVIE,2022,PG-13,1,26781
sport,MOVIE,2021,R,5,26766
comedy,SHOW,2018,TV-PG,11,26586
music,MOVIE,2008,,3,26457
horror,SHOW,2019,TV-PG,2,26315
scifi,SHOW,2016,TV-Y7,5,26313
drama,SHOW,2007,TV-PG,2,26266
family,SHOW,2007,TV-PG,2,26266
romance,MOVIE,2006,PG-13,1,26157
horror,MOVIE,2016,,3,25875
documentation,SHOW,2020,,6,25864
animation,MOVIE,2012,PG,2,25855
scifi,MOVIE,2012,PG,2,25855
action,SHOW,1993,TV-Y7,2,25757
family,SHOW,1993,TV-Y7,2,25757
fantasy,SHOW,1993,TV-Y7,2,25757
scifi,SHOW,1993,TV-Y7,2,25757
drama,SHOW,2012,TV-PG,1,25562
european,SHOW,2012,TV-PG,1,25562
history,SHOW,2012,TV-PG,1,25562
crime,MOVIE,2000,R,1,25432
